Coded Value,Type of Projection,Applies to Database Schema
0101,STATE PLANE TRANSVERSE MERCATOR ALABAMA EAST ZONE,"FIRM, FRD"
0101H,"HARN STATE PLANE TRANSVERSE MERCATOR, ALABAMA EAST ZONE","FIRM, FRD"
0102,"STATE PLANE TRANSVERSE MERCATOR, ALABAMA WEST ZONE","FIRM, FRD"
0102H,"HARN STATE PLANE TRANSVERSE MERCATOR, ALABAMA WEST ZONE","FIRM, FRD"
0201,"STATE PLANE TRANSVERSE MERCATOR, ARIZONA EAST ZONE","FIRM, FRD"
0201H,"HARN STATE PLANE TRANSVERSE MERCATOR, ARIZONA EAST ZONE","FIRM, FRD"
0202,"STATE PLANE TRANSVERSE MERCATOR, ARIZONACENTRAL ZONE","FIRM, FRD"
0202H,"HARN STATE PLANE TRANSVERSE MERCATOR, ARIZONA CENTRAL ZONE","FIRM, FRD"
0203,"STATE PLANE TRANSVERSE MERCATOR, ARIZONA WEST ZONE","FIRM, FRD"
0203H,"HARN STATE PLANE TRANSVERSE MERCATOR, ARIZONA WEST ZONE","FIRM, FRD"
0302,"STATE PLANE LAMBERT CONFORMAL CONIC, ARKANSAS SOUTH ZONE","FIRM, FRD"
0401,"STATE PLANE LAMBERT CONFORMAL CONIC, CALIFORNIA I ZONE","FIRM, FRD"
0401H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, CALIFORNIA I ZONE","FIRM, FRD"
0402,"STATE PLANE LAMBERT CONFORMAL CONIC, CALIFORNIA II ZONE","FIRM, FRD"
0402H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, CALIFORNIA II ZONE","FIRM, FRD"
0403,"STATE PLANE LAMBERT CONFORMAL CONIC, CALIFORNIA III ZONE","FIRM, FRD"
0403H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, CALIFORNIA III ZONE","FIRM, FRD"
0404,"STATE PLANE LAMBERT CONFORMAL CONIC, CALIFORNIA IV ZONE","FIRM, FRD"
0404H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, CALIFORNIA IV ZONE","FIRM, FRD"
0405,"STATE PLANE LAMBERT CONFORMAL CONIC, CALIFORNIA V ZONE","FIRM, FRD"
0405H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, CALIFORNIA V ZONE","FIRM, FRD"
0406,"STATE PLANE LAMBERT CONFORMAL CONIC, CALIFORNIA VI ZONE","FIRM, FRD"
0406H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, CALIFORNIA VI ZONE","FIRM, FRD"
0501,"STATE PLANE LAMBERT CONFORMAL CONIC, COLORADO CENTRAL ZONE","FIRM, FRD"
0501H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, COLORADO CENTRAL ZONE","FIRM, FRD"
0502,"STATE PLANE LAMBERT CONFORMAL CONIC, COLORADO NORTH ZONE","FIRM, FRD"
0502H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, COLORADO NORTH ZONE","FIRM, FRD"
0503,"STATE PLANE LAMBERT CONFORMAL CONIC, COLORADO SOUTH ZONE","FIRM, FRD"
0503H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, COLORADO SOUTH ZONE","FIRM, FRD"
0600,"STATE PLANE LAMBERT CONFORMAL CONIC, CONNECTICUT ZONE","FIRM, FRD"
0600H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, CONNECTICUT ZONE","FIRM, FRD"
0700,"STATE PLANE TRANSVERSE MERCATOR, DELAWARE ZONE","FIRM, FRD"
0700H,"HARN STATE PLANE TRANSVERSE MERCATOR, DELAWARE ZONE","FIRM, FRD"
0901,"STATE PLANE TRANSVERSE MERCATOR, FLORIDA EAST ZONE","FIRM, FRD"
0901H,"HARN STATE PLANE TRANSVERSE MERCATOR, FLORIDA EAST ZONE","FIRM, FRD"
0902,"STATE PLANE TRANSVERSE MERCATOR, FLORIDA WEST ZONE","FIRM, FRD"
0902H,"HARN STATE PLANE TRANSVERSE MERCATOR, FLORIDA WEST ZONE","FIRM, FRD"
0903,"STATE PLANE LAMBERT CONFORMAL CONIC, FLORIDA NORTH ZONE","FIRM, FRD"
0903H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, FLORIDA NORTH ZONE","FIRM, FRD"
1001,"STATE PLANE TRANSVERSE MERCATOR, GEORGIA EAST ZONE","FIRM, FRD"
1001H,"HARN STATE PLANE TRANSVERSE MERCATOR, GEORGIA EAST ZONE","FIRM, FRD"
1002,"STATE PLANE TRANSVERSE MERCATOR, GEORGIA WEST ZONE","FIRM, FRD"
1002H,"HARN STATE PLANE TRANSVERSE MERCATOR, GEORGIA WEST ZONE","FIRM, FRD"
1101,"STATE PLANE TRANSVERSE MERCATOR, IDAHO EAST ZONE","FIRM, FRD"
1101H,"HARN STATE PLANE TRANSVERSE MERCATOR, IDAHO EAST ZONE","FIRM, FRD"
1102,"STATE PLANE TRANSVERSE MERCATOR, IDAHO CENTRAL ZONE","FIRM, FRD"
1102H,"HARN STATE PLANE TRANSVERSE MERCATOR, IDAHO CENTRAL ZONE","FIRM, FRD"
1103,"STATE PLANE TRANSVERSE MERCATOR, IDAHO WEST ZONE","FIRM, FRD"
1103H,"HARN STATE PLANE TRANSVERSE MERCATOR, IDAHO WEST ZONE","FIRM, FRD"
1201,"STATE PLANE TRANSVERSE MERCATOR, ILLINOIS EAST ZONE","FIRM, FRD"
1201H,"HARN STATE PLANE TRANSVERSE MERCATOR, ILLINOIS EAST ZONE","FIRM, FRD"
1202,"STATE PLANE TRANSVERSE MERCATOR, ILLINOIS WEST ZONE","FIRM, FRD"
1202H,"HARN STATE PLANE TRANSVERSE MERCATOR, ILLINOIS WEST ZONE","FIRM, FRD"
1301,"STATE PLANE TRANSVERSE MERCATOR, INDIANA EAST ZONE","FIRM, FRD"
1301H,"HARN STATE PLANE TRANSVERSE MERCATOR, INDIANA EAST ZONE","FIRM, FRD"
1302,"STATE PLANE TRANSVERSE MERCATOR, INDIANA WEST ZONE","FIRM, FRD"
1302H,"HARN STATE PLANE TRANSVERSE MERCATOR, INDIANA WEST ZONE","FIRM, FRD"
1401,"STATE PLANE LAMBERT CONFORMAL CONIC, IOWA NORTH ZONE","FIRM, FRD"
1402,"STATE PLANE LAMBERT CONFORMAL CONIC, IOWA SOUTH ZONE","FIRM, FRD"
1501,"STATE PLANE LAMBERT CONFORMAL CONIC, KANSAS NORTH ZONE","FIRM, FRD"
1501H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, KANSAS NORTH ZONE","FIRM, FRD"
1502,"STATE PLANE LAMBERT CONFORMAL CONIC, KANSAS SOUTH ZONE","FIRM, FRD"
1502H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, KANSAS SOUTH ZONE","FIRM, FRD"
1600,"STATE PLANE LAMBERT CONFORMAL CONIC, KENTUCKY ZONE","FIRM, FRD"
1601,"STATE PLANE LAMBERT CONFORMAL CONIC, KENTUCKY NORTH ZONE","FIRM, FRD"
1601H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, KENTUCKY NORTH ZONE","FIRM, FRD"
1602,"STATE PLANE LAMBERT CONFORMAL CONIC, KENTUCKY SOUTH ZONE","FIRM, FRD"
1602H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, KENTUCKY SOUTH ZONE","FIRM, FRD"
1701,"STATE PLANE LAMBERT CONFORMAL CONIC, LOUISIANA NORTH ZONE","FIRM, FRD"
1701H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, LOUISIANA NORTH ZONE","FIRM, FRD"
1702,"STATE PLANE LAMBERT CONFORMAL CONIC, LOUISIANA SOUTH ZONE","FIRM, FRD"
1702H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, LOUISIANA SOUTH ZONE","FIRM, FRD"
1801,"STATE PLANE TRANSVERSE MERCATOR, MAINE EAST ZONE","FIRM, FRD"
1801H,"HARN STATE PLANE TRANSVERSE MERCATOR, MAINE EAST ZONE","FIRM, FRD"
1802,"STATE PLANE TRANSVERSE MERCATOR, MAINE WEST ZONE","FIRM, FRD"
1802H,"HARN STATE PLANE TRANSVERSE MERCATOR, MAINE WEST ZONE","FIRM, FRD"
1900,"STATE PLANE LAMBERT CONFORMAL CONIC, MARYLAND ZONE","FIRM, FRD"
1900H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, MARYLAND ZONE","FIRM, FRD"
2001,"STATE PLANE LAMBERT CONFORMAL CONIC, MASSACHUSETTS ISLAND ZONE","FIRM, FRD"
2001H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, MASSACHUSETTS ISLAND ZONE","FIRM, FRD"
2002,"STATE PLANE LAMBERT CONFORMAL CONIC, MASSACHUSETTS MLAND ZONE","FIRM, FRD"
2002H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, MASSACHUSETTS MLAND ZONE","FIRM, FRD"
2111,"STATE PLANE LAMBERT CONFORMAL CONIC, MICHIGAN NORTH ZONE","FIRM, FRD"
2111H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, MICHIGAN NORTH ZONE","FIRM, FRD"
2112,"STATE PLANE LAMBERT CONFORMAL CONIC, MICHIGAN CENTRAL ZONE","FIRM, FRD"
2112H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, MICHIGAN CENTRAL ZONE","FIRM, FRD"
2113,"STATE PLANE LAMBERT CONFORMAL CONIC, MICHIGAN SOUTH ZONE","FIRM, FRD"
2113H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, MICHIGAN SOUTH ZONE","FIRM, FRD"
2201,"STATE PLANE LAMBERT CONFORMAL CONIC, MINNESOTA NORTH ZONE","FIRM, FRD"
2202,"STATE PLANE LAMBERT CONFORMAL CONIC, MINNESOTA CENTRAL ZONE","FIRM, FRD"
2203,"STATE PLANE LAMBERT CONFORMAL CONIC, MINNESOTA SOUTH ZONE","FIRM, FRD"
2301,"STATE PLANE TRANSVERSE MERCATOR, MISSISSIPPI EAST ZONE","FIRM, FRD"
2301H,"HARN STATE PLANE TRANSVERSE MERCATOR, MISSISSIPPI EAST ZONE","FIRM, FRD"
2302,"STATE PLANE TRANSVERSE MERCATOR, MISSISSIPPI WEST ZONE","FIRM, FRD"
2302H,"HARN STATE PLANE TRANSVERSE MERCATOR, MISSISSIPPI WEST ZONE","FIRM, FRD"
2401,"STATE PLANE TRANSVERSE MERCATOR, MISSOURI EAST ZONE","FIRM, FRD"
2402,"STATE PLANE TRANSVERSE MERCATOR, MISSOURI CENTRAL ZONE","FIRM, FRD"
2403,"STATE PLANE TRANSVERSE MERCATOR, MISSOURI WEST ZONE","FIRM, FRD"
2500,"STATE PLANE LAMBERT CONFORMAL CONIC, MONTANA ZONE","FIRM, FRD"
2500H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, MONTANA ZONE","FIRM, FRD"
2600,"STATE PLANE LAMBERT CONFORMAL CONIC, NEBRASKA ZONE","FIRM, FRD"
2600H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, NEBRASKA ZONE","FIRM, FRD"
2701,"STATE PLANE TRANSVERSE MERCATOR, NEVADA EAST ZONE","FIRM, FRD"
2701H,"HARN STATE PLANE TRANSVERSE MERCATOR, NEVADA EAST ZONE","FIRM, FRD"
2702,"STATE PLANE TRANSVERSE MERCATOR, NEVADA CENTRAL ZONE","FIRM, FRD"
2702H,"HARN STATE PLANE TRANSVERSE MERCATOR, NEVADA CENTRAL ZONE","FIRM, FRD"
